,Churn,genero,tem +65,possui_parceiro,possui_dependentes,tempo_cliente_meses,servico_telefone,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,gasto_mensal,gasto_total,contas_diarias
88,1,Feminino,0,0,0,1,1,1,Fibra Opica,0,1,0,0,0,0,Mensal,1,Cheque fisico,80.2,80.2,2.67
89,1,Feminino,0,0,0,3,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.85,63.75,0.66
90,0,Feminino,0,1,0,2,1,0,Fibra Opica,1,1,0,0,1,0,Mensal,0,Cheque eletrônico,90.35,190.5,3.01
91,0,Feminino,1,0,0,27,1,1,Fibra Opica,0,1,1,0,0,0,Mensal,1,Transferência bancária,86.45,2401.05,2.88
92,0,Masculino,0,0,0,26,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,20.3,511.25,0.68
93,0,Feminino,1,1,0,39,1,1,Fibra Opica,0,0,0,1,1,1,Mensal,1,Cheque eletrônico,101.25,3949.15,3.38
94,1,Masculino,0,0,0,25,1,1,Fibra Opica,0,0,0,0,1,1,Mensal,1,Transferência bancária,94.7,2362.1,3.16
95,1,Feminino,0,0,0,1,1,0,Fibra Opica,0,0,0,0,0,0,Mensal,0,Cheque fisico,70.9,70.9,2.36
97,1,Masculino,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Mensal,1,Cheque eletrônico,54.2,1152.7,1.81
99,0,Feminino,0,0,0,72,1,1,Fibra Opica,1,1,1,1,1,1,Bienal,1,Cheque eletrônico,114.9,8496.7,3.83
100,0,Feminino,0,0,0,24,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Transferência bancária,19.55,470.2,0.65
101,0,Feminino,0,1,0,19,1,1,Fibra Opica,0,0,0,0,1,0,Mensal,1,Cheque eletrônico,86.85,1564.4,2.9
102,0,Masculino,0,1,1,71,1,1,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cartão de crédito,25.35,1847.55,0.85
103,0,Masculino,1,1,0,33,1,1,Fibra Opica,1,0,1,1,1,1,Mensal,1,Transferência bancária,109.9,3694.7,3.66
104,0,Feminino,0,0,0,3,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.95,58,0.66
105,0,Masculino,0,1,1,47,1,1,Fibra Opica,0,1,0,0,1,0,Mensal,0,Cheque eletrônico,87.2,4017.45,2.91
106,0,Masculino,0,1,1,62,1,0,Fibra Opica,1,1,1,1,1,1,Bienal,0,Cheque fisico,108.15,6825.65,3.6
107,0,Masculino,0,0,0,71,1,1,Fibra Opica,1,1,1,1,1,1,Anual,1,Transferência bancária,116.3,8309.55,3.88
108,0,Masculino,1,1,0,7,1,0,Fibra Opica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,89.0,605.45,2.97
109,0,Feminino,0,1,1,27,1,0,Fibra Opica,1,0,0,0,0,0,Mensal,0,Cheque fisico,74.4,1972.35,2.48
110,0,Masculino,0,0,0,2,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,20.05,33.7,0.67
111,0,Feminino,0,0,1,25,0,0,DSL,1,0,0,1,0,0,Bienal,0,Transferência bancária,35.05,844.45,1.17
112,0,Masculino,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Mensal,1,Cheque eletrônico,74.75,2111.3,2.49
113,1,Feminino,1,1,0,58,1,0,Fibra Opica,1,1,0,1,1,1,Anual,1,Cartão de crédito,105.5,6205.5,3.52
114,1,Masculino,0,1,0,10,1,1,Fibra Opica,0,0,0,0,0,1,Mensal,1,Cheque eletrônico,85.25,855.3,2.84
115,0,Feminino,0,0,0,9,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cartão de crédito,75.2,633.85,2.51
116,1,Feminino,1,1,0,6,1,1,Fibra Opica,0,0,0,0,0,1,Mensal,1,Cheque eletrônico,84.35,474.9,2.81
117,0,Feminino,0,1,1,69,1,1,Fibra Opica,1,0,1,0,0,0,Anual,0,Transferência bancária,84.45,5848.6,2.82
118,0,Feminino,1,0,0,66,1,1,Fibra Opica,1,0,0,0,1,1,Bienal,1,Transferência bancária,102.4,6471.85,3.41
119,1,Feminino,0,0,0,70,1,1,Fibra Opica,1,1,1,1,1,1,Anual,0,Cartão de crédito,115.55,8127.6,3.85
120,1,Masculino,0,0,0,25,1,1,Sem servico de internet,0,0,0,0,0,0,Anual,0,Transferência bancária,25.3,676.35,0.84
121,0,Feminino,0,1,1,46,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Cheque fisico,19.25,864.2,0.64
122,0,Feminino,0,1,0,54,1,1,Fibra Opica,1,1,1,1,1,1,Anual,1,Cheque fisico,114.65,6049.5,3.82
123,1,Feminino,0,0,0,15,1,0,Fibra Opica,1,0,1,1,1,1,Mensal,0,Cheque eletrônico,105.1,1582.75,3.5
124,0,Feminino,0,1,1,12,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Transferência bancária,19.4,198.1,0.65
125,0,Feminino,0,0,0,22,0,0,DSL,0,1,0,0,1,1,Mensal,1,Cheque eletrônico,50.35,1098.85,1.68
126,0,Feminino,0,1,0,70,0,0,DSL,0,1,1,1,1,1,Bienal,0,Transferência bancária,57.8,4039.3,1.93
127,0,Masculino,0,0,0,30,1,0,Fibra Opica,1,1,1,0,0,0,Mensal,1,Cartão de crédito,84.3,2438.6,2.81
128,0,Masculino,0,1,1,71,1,1,Fibra Opica,0,1,0,0,1,1,Anual,0,Transferência bancária,100.55,7113.75,3.35
129,0,Masculino,0,1,0,30,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cartão de crédito,19.8,576.65,0.66
130,1,Masculino,0,1,1,4,1,1,Fibra Opica,0,1,1,0,0,0,Mensal,1,Transferência bancária,84.8,371.9,2.83
131,1,Masculino,0,0,0,2,1,0,Fibra Opica,0,0,1,0,0,1,Mensal,1,Cheque eletrônico,85.85,167.3,2.86
132,0,Masculino,0,0,1,10,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,1,Transferência bancária,19.95,219.5,0.66
133,0,Masculino,1,0,0,4,1,0,Fibra Opica,1,0,0,0,0,0,Mensal,0,Cheque eletrônico,75.35,273.4,2.51
134,0,Masculino,1,0,0,52,0,0,DSL,1,0,0,0,1,1,Mensal,1,Cartão de crédito,48.8,2555.05,1.63
135,1,Masculino,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,47.15,223.15,1.57
136,0,Masculino,0,1,1,8,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Cheque fisico,20.15,165.5,0.67
137,0,Feminino,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,44.3,89.3,1.48
138,0,Masculino,0,0,0,3,1,0,Fibra Opica,0,1,0,0,0,1,Mensal,0,Cheque eletrônico,84.3,235.05,2.81
139,0,Masculino,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Mensal,0,Cheque eletrônico,59.55,1144.6,1.98
140,0,Masculino,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Bienal,0,Transferência bancária,69.65,4908.25,2.32
141,0,Masculino,1,1,0,63,0,0,DSL,1,0,0,1,0,0,Anual,0,Transferência bancária,36.1,2298.9,1.2
142,0,Masculino,0,1,0,66,0,0,DSL,1,1,1,1,1,0,Bienal,1,Transferência bancária,56.6,3789.2,1.89
143,1,Masculino,0,0,0,1,1,0,Fibra Opica,0,0,0,1,0,0,Mensal,1,Cheque eletrônico,75.9,75.9,2.53
144,0,Feminino,0,0,0,60,1,1,Fibra Opica,0,0,1,0,0,0,Anual,1,Transferência bancária,79.2,4765,2.64
145,0,Feminino,0,1,1,48,0,0,DSL,1,0,1,0,0,1,Anual,0,Cartão de crédito,45.0,2196.3,1.5
146,1,Feminino,0,0,0,1,1,0,Fibra Opica,0,0,1,0,1,0,Mensal,1,Cartão de crédito,85.55,85.55,2.85
147,1,Masculino,0,0,0,15,1,1,Fibra Opica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,93.35,1444.65,3.11
148,0,Feminino,0,1,0,50,1,1,Fibra Opica,1,1,0,1,1,1,Mensal,1,Transferência bancária,109.65,5405.8,3.66
149,0,Masculino,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Bienal,0,Cartão de crédito,89.7,6339.3,2.99
150,0,Feminino,0,0,0,46,1,1,Fibra Opica,1,1,0,0,0,0,Mensal,0,Cheque fisico,84.25,3847.6,2.81
151,0,Feminino,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Bienal,0,Transferência bancária,92.65,6733,3.09
152,0,Masculino,0,1,1,1,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.7,19.7,0.66
153,0,Feminino,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,50.1,50.1,1.67
154,0,Feminino,1,0,0,67,1,0,Fibra Opica,1,1,0,1,1,0,Bienal,1,Transferência bancária,92.45,6140.85,3.08
155,0,Feminino,0,1,1,48,1,1,DSL,0,1,0,1,1,1,Bienal,0,Cheque eletrônico,79.65,3870.3,2.66
156,0,Feminino,0,0,0,72,1,0,Fibra Opica,1,1,1,1,1,1,Bienal,1,Cheque eletrônico,109.9,7624.2,3.66
157,0,Masculino,0,1,0,52,1,1,DSL,1,1,1,1,0,1,Anual,1,Cartão de crédito,81.4,4354.45,2.71
158,0,Feminino,0,1,1,67,1,0,DSL,0,1,0,0,0,0,Anual,0,Cartão de crédito,50.55,3431.75,1.68
159,1,Feminino,0,1,1,28,1,0,Fibra Opica,0,0,0,0,0,1,Mensal,1,Cheque eletrônico,81.05,2227.1,2.7
160,0,Feminino,0,1,1,32,1,1,DSL,0,1,1,0,0,0,Mensal,0,Transferência bancária,62.45,2045.55,2.08
161,1,Feminino,1,1,0,27,1,0,Fibra Opica,1,0,0,0,0,0,Mensal,1,Transferência bancária,75.2,1929.35,2.51
162,0,Masculino,0,0,0,3,1,0,Fibra Opica,0,1,1,0,0,1,Mensal,0,Cheque eletrônico,90.4,268.45,3.01
163,1,Masculino,0,0,0,2,1,1,Fibra Opica,0,0,0,0,1,0,Mensal,1,Cheque eletrônico,85.65,181.5,2.86
164,1,Feminino,0,0,1,9,1,0,DSL,0,0,1,1,1,1,Mensal,1,Cheque fisico,72.9,651.4,2.43
165,0,Masculino,0,1,1,50,1,1,DSL,1,0,0,1,1,0,Bienal,1,Cartão de crédito,70.5,3486.65,2.35
166,0,Feminino,0,1,1,71,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,0,Transferência bancária,20.1,1389.6,0.67
167,1,Masculino,1,1,0,32,1,1,Fibra Opica,0,0,0,0,0,0,Mensal,1,Cheque eletrônico,74.9,2303.35,2.5
168,0,Feminino,0,1,1,16,1,0,Fibra Opica,1,0,1,0,1,1,Mensal,0,Transferência bancária,100.7,1522.7,3.36
169,0,Feminino,0,1,1,67,1,1,Fibra Opica,0,0,1,1,1,1,Bienal,1,Transferência bancária,105.65,6717.9,3.52
170,0,Masculino,0,1,1,72,1,1,Fibra Opica,1,1,1,1,1,1,Bienal,1,Cartão de crédito,114.3,8058.55,3.81
171,1,Feminino,0,0,0,3,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque eletrônico,19.75,58.85,0.66
172,0,Masculino,0,1,1,23,1,1,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque fisico,24.35,538.5,0.81
173,0,Masculino,0,1,1,72,1,1,DSL,1,1,1,1,0,0,Bienal,0,Transferência bancária,69.85,5102.35,2.33
174,0,Masculino,0,1,1,7,0,0,DSL,1,1,1,0,1,1,Mensal,0,Cheque fisico,58.85,465.7,1.96
176,0,Masculino,0,1,1,8,1,0,DSL,0,0,0,0,1,0,Mensal,1,Cheque eletrônico,54.4,475.1,1.81
177,0,Masculino,0,1,1,66,0,0,DSL,0,0,0,1,1,1,Bienal,0,Transferência bancária,50.55,3364.55,1.68
178,1,Masculino,0,0,0,5,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,21.05,113.85,0.7
179,1,Masculino,0,0,0,49,1,1,Fibra Opica,0,1,1,0,1,1,Mensal,1,Transferência bancária,103.7,5036.3,3.46
180,0,Masculino,0,1,0,63,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Transferência bancária,19.95,1234.8,0.66
181,0,Feminino,1,1,1,12,0,0,DSL,0,0,0,1,0,0,Mensal,1,Cheque fisico,29.3,355.9,0.98
182,0,Masculino,0,1,1,27,1,0,DSL,1,1,0,0,0,0,Mensal,1,Cartão de crédito,54.75,1510.3,1.82
183,0,Feminino,0,0,0,35,1,0,DSL,1,1,1,0,0,0,Mensal,0,Cheque eletrônico,60.55,1982.6,2.02
184,0,Feminino,0,1,1,54,1,1,DSL,0,1,1,1,1,1,Mensal,1,Cheque eletrônico,86.2,4524.05,2.87
185,1,Masculino,0,0,0,1,1,1,Fibra Opica,0,0,0,0,1,1,Mensal,1,Cheque eletrônico,95.45,95.45,3.18
186,0,Masculino,0,0,0,5,1,0,DSL,0,0,1,1,1,0,Mensal,1,Cartão de crédito,63.95,318.1,2.13
187,0,Masculino,0,0,0,19,1,0,DSL,0,1,0,1,0,1,Anual,1,Transferência bancária,65.35,1231.85,2.18
188,0,Masculino,0,1,1,52,0,0,DSL,0,1,1,1,1,0,Bienal,0,Cheque fisico,50.2,2554,1.67
189,0,Feminino,0,1,1,72,0,0,DSL,1,1,1,1,1,1,Bienal,1,Transferência bancária,63.8,4684.3,2.13
190,0,Masculino,0,0,0,32,1,0,Sem servico de internet,0,0,0,0,0,0,Bienal,1,Transferência bancária,20.05,614.45,0.67
191,1,Feminino,0,1,0,8,1,0,Fibra Opica,0,1,1,0,1,1,Mensal,0,Cheque eletrônico,101.15,842.9,3.37
192,0,Masculino,0,0,0,41,1,1,DSL,0,0,1,0,0,1,Anual,0,Cheque fisico,65.0,2531.8,2.17
193,0,Masculino,0,0,0,5,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,1,Cheque fisico,19.25,86.05,0.64
194,0,Feminino,0,0,1,11,0,0,DSL,1,0,0,1,0,0,Anual,1,Cheque fisico,36.05,402.6,1.2
195,1,Masculino,0,0,0,5,1,0,Fibra Opica,0,0,0,1,1,1,Mensal,1,Cheque eletrônico,96.1,453.4,3.2
196,0,Feminino,0,0,0,16,1,0,Sem servico de internet,0,0,0,0,0,0,Anual,0,Cheque fisico,19.05,326.65,0.64
197,0,Masculino,1,0,0,71,1,1,Fibra Opica,0,1,0,1,1,1,Anual,0,Transferência bancária,105.75,7382.85,3.52
198,0,Feminino,0,0,0,11,0,0,DSL,0,1,1,1,0,0,Anual,1,Cartão de crédito,40.4,422.6,1.35
199,1,Feminino,0,1,1,61,1,1,Fibra Opica,0,1,0,0,1,1,Mensal,1,Cheque eletrônico,99.15,6010.05,3.3
200,0,Feminino,0,1,0,71,1,0,DSL,1,1,1,1,1,1,Anual,1,Transferência bancária,84.8,6046.1,2.83
201,0,Masculino,0,0,0,9,1,0,Sem servico de internet,0,0,0,0,0,0,Mensal,0,Cheque fisico,19.85,178.8,0.66
202,0,Feminino,0,0,0,6,1,0,DSL,1,0,0,0,0,0,Mensal,1,Cheque eletrônico,49.45,314.6,1.65
203,1,Feminino,0,0,0,26,1,0,Fibra Opica,0,0,0,0,1,1,Mensal,1,Transferência bancária,88.8,2274.35,2.96
204,0,Feminino,0,0,0,6,1,0,DSL,1,1,0,0,0,0,Mensal,0,Cheque fisico,55.15,322.9,1.84
205,0,Masculino,0,0,0,11,1,0,Fibra Opica,0,0,1,0,0,1,Mensal,0,Cheque eletrônico,84.8,888.75,2.83
